id;the_role;image;image_content_type;the_link
1;ANONYMOUS;../fake-data/blob/hipster.png;image/png;Books d'Azur
2;TEACHER;../fake-data/blob/hipster.png;image/png;Cap-Vert
3;ANONYMOUS;../fake-data/blob/hipster.png;image/png;bandwidth Money
4;TEACHER;../fake-data/blob/hipster.png;image/png;sky b
5;TEACHER;../fake-data/blob/hipster.png;image/png;connecting
6;STUDENT;../fake-data/blob/hipster.png;image/png;Steel Reverse-engineered
7;TEACHER;../fake-data/blob/hipster.png;image/png;synthesize support Plastic
8;ADMIN;../fake-data/blob/hipster.png;image/png;Towels
9;ANONYMOUS;../fake-data/blob/hipster.png;image/png;Keyboard
10;ANONYMOUS;../fake-data/blob/hipster.png;image/png;Uruguayo olive Rubber
