id;the_role;image;image_content_type
1;ADMIN;../fake-data/blob/hipster.png;image/png
2;STUDENT;../fake-data/blob/hipster.png;image/png
3;ANONYMOUS;../fake-data/blob/hipster.png;image/png
4;ANONYMOUS;../fake-data/blob/hipster.png;image/png
5;STUDENT;../fake-data/blob/hipster.png;image/png
6;STUDENT;../fake-data/blob/hipster.png;image/png
7;ADMIN;../fake-data/blob/hipster.png;image/png
8;STUDENT;../fake-data/blob/hipster.png;image/png
9;STUDENT;../fake-data/blob/hipster.png;image/png
10;ANONYMOUS;../fake-data/blob/hipster.png;image/png
